Year_Month,Year,Month,Site,Type,Easting,Northing,Longitude,Latitude,NO2_NA_no,NO2,PM10_NA_no,PM10,PM25_NA_no,PM25,NO2_modelled,PM10_modelled,PM25_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,Temp_Trend,logNO2,logPM10,logPM25,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,PopDen,nearest_road_distance
2016-01,2016,1,Aberdeen Anderson Dr,Roadside,392504.39,804189.75,-2.125446985,57.12856696,11,24.1,0,14.01290323,31,,15.96019,10.55266,6.172001,83.43176565,1001.963221,180.1136866,6.324590906,42.64925117,4.115653503,0.40984304,Large Urban Areas,1,3.18221184,2.639978564,,test,train4,test,train9,train7,train5,train8,test,train3,test,0.005123445,14.49298793
2016-01,2016,1,Aberdeen Errol Place,Rest,394395.8,807391.98,-2.094278044,57.15736002,0,28.69677419,4,15.42962963,4,5.955555556,19.87877,10.31663,5.94299,83.17164138,1001.960544,193.3505846,6.52517504,43.58768956,4.429327431,0.15211769,Large Urban Areas,1,3.356784719,2.736289663,1.784324491,train9,train6,train2,train9,train2,train10,train8,train2,test,test,0.006877316,76.62294631
2016-01,2016,1,Aberdeen King Street,Roadside,394333,808770,-2.095348117,57.16973795,0,29.52580645,2,19.31034483,31,,17.38135,10.17115,5.806363,83.3526005,1001.956267,201.8079444,6.376854728,43.93963391,4.460723965,0.48812968,Large Urban Areas,1,3.385264676,2.960640954,,train9,train7,train8,train3,train10,train5,train10,train4,test,train9,0.003926085,9.599338545
2016-01,2016,1,Aberdeen Market Street 2,Roadside,394551.62,805673.18,-2.091663919,57.14192196,6,39.504,6,12.716,6,8.112,31.23656,11.62385,6.849536,83.34638163,1001.968257,169.9746538,6.547142909,43.64020562,4.443591439,0.174227,Large Urban Areas,1,3.676401933,2.542861043,2.093344447,train10,train6,train5,test,test,train2,train8,test,train1,test,0.003730111,7.363513475
2016-01,2016,1,Aberdeen Union Street Roadside,Roadside,393655.92,805967.6,-2.106472003,57.14455502,0,48.90322581,12,17.16842105,13,11.73333333,22.30283,10.77242,6.308893,83.29314753,1001.964863,179.3200234,6.3672019,43.15994789,4.279913537,0.22602874,Large Urban Areas,1,3.889843362,2.843071711,2.462433794,train2,train1,train4,train2,train9,train8,test,train4,test,train8,0.008052278,13.61053035
2016-01,2016,1,Aberdeen Wellington Road,Roadside,394410.99,804813.2,-2.093968047,57.13419503,0,40.53548387,1,17.58333333,31,,20.35855,10.55765,6.170999,83.5146843,1001.96974,171.6219312,6.930142164,43.50166143,4.324854221,0.23063854,Large Urban Areas,1,3.702177735,2.866951484,,train1,train10,test,train7,train8,train9,train5,test,train9,train10,0.004007295,9.754705711
2016-01,2016,1,Alloa A907,Roadside,288689,693068,-3.791820157,56.11733979,0,32.93548387,0,12.68064516,31,,15.5629,10.26566,6.215875,89.00904306,1001.979484,187.3776162,4.68404036,14.6167974,4.251101116,0.44572512,Other Urban Areas,1,3.494550614,2.540076828,,train3,train3,train4,train10,train4,train10,train1,test,test,train3,0.003703423,2.820852372
2016-01,2016,1,Bush Estate,Rest,324629.04,663890.62,-3.205782065,55.862281,0,10.60967742,31,,31,,8.075246,9.222131,5.575827,88.22714691,1002.017884,185.2105858,4.772712471,28.93202985,3.850707278,0.5457822,Rural Areas,1,2.361766549,,,train5,test,train2,train7,test,train3,train3,train9,train9,train6,4.20E-05,67.55410485
2016-01,2016,1,Dumfries,Roadside,297019.53,576254.03,-3.614233057,55.070033,0,33.26774194,31,,31,,11.57991,9.023594,5.621769,89.32437635,1002.632392,297.2827053,3.586997481,24.19304204,5.013277298,0.6060138,Rural Areas,1,3.504588217,,,train9,train4,train9,train2,train2,train10,train6,train9,train7,train10,0.001794662,7.734609493
2016-01,2016,1,Dundee Broughty Ferry Road,Industrial,341970.73,730976.51,-2.943422928,56.46733201,8,28.56086957,3,12.275,31,,11.93455,9.713922,5.633138,87.66227826,1001.945467,155.2495373,4.744007175,26.17767228,4.542697795,0.20891886,Rural Areas,1,3.352037584,2.507564674,,train7,train1,train8,train1,train8,train7,train8,train2,train6,test,0.003567147,11.47388376
2016-01,2016,1,Dundee Lochee Road,Kerbside,338859.24,730774.79,-2.993867031,56.465126,0,49.69354839,0,20.12258065,31,,11.9917,9.910512,5.906315,87.76547671,1001.938231,187.7542447,5.188191514,24.31400677,4.024776192,0.22149992,Rural Areas,1,3.905875114,3.0018426,,train6,train1,train1,train3,test,test,test,train1,train2,train6,0.006963361,3.659449659
2016-01,2016,1,Dundee Mains Loan,Rest,340970.55,731892.31,-2.959861021,56.47543397,0,16.67096774,0,10.39354839,31,,14.51074,10.19106,6.031661,87.66178867,1001.940542,175.1016459,5.318781208,25.25200258,4.176233255,0.26281698,Rural Areas,1,2.813668748,2.341185266,,train1,train1,test,train7,test,train7,train10,train8,train10,train4,0.006828352,215.8970495
