Year_Month,Year,Month,Site,Type,Easting,Northing,Longitude,Latitude,NO2_NA_no,NO2,PM10_NA_no,PM10,PM25_NA_no,PM25,NO2_modelled,PM10_modelled,PM25_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,Temp_Trend,logNO2,logPM10,logPM25,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10
2016-01,2016,1,Aberdeen Anderson Dr,Roadside,392504.39,804189.75,-2.12544698515107,57.128566961,11,24.1,0,14.0129032258065,31,,15.96019,10.55266,6.172001,83.4317656531573,1001.96322073918,180.113686640789,6.32459090639236,42.6492511652353,4.1156535026179,0.40984304,Large Urban Areas,1,3.18221184049661,2.63997856413458,,,,,,,,,,,
2016-01,2016,1,Aberdeen Errol Place,Rest,394395.8,807391.98,-2.09427804429283,57.1573600199219,0,28.6967741935484,4,15.4296296296296,4,5.95555555555556,19.87877,10.31663,5.94299,83.1716413785642,1001.96054431389,193.350584561761,6.52517503954645,43.5876895633552,4.42932743072443,0.15211769,Large Urban Areas,1,3.35678471901117,2.73628966282254,1.78432449074054,train5,train1,train9,train1,train9,train6,train7,test,test,train4
2016-01,2016,1,Aberdeen King Street,Roadside,394333,808770,-2.09534811714625,57.1697379497512,0,29.5258064516129,2,19.3103448275862,31,,17.38135,10.17115,5.806363,83.3526004950818,1001.9562670165,201.807944408135,6.37685472807632,43.9396339083342,4.46072396485185,0.48812968,Large Urban Areas,1,3.38526467590559,2.96064095374272,,train2,train10,test,train9,train5,train2,train10,train10,train6,test
2016-01,2016,1,Aberdeen Market Street 2,Roadside,394551.62,805673.18,-2.09166391868129,57.1419219641957,6,39.504,6,12.716,6,8.112,31.23656,11.62385,6.849536,83.3463816285891,1001.96825746224,169.974653779485,6.54714290908095,43.6402056225137,4.44359143912532,0.174227,Large Urban Areas,1,3.67640193260282,2.54286104304856,2.09334444684883,test,train4,train6,train10,train2,train5,train8,train3,train5,train8
2016-01,2016,1,Aberdeen Union Street Roadside,Roadside,393655.92,805967.6,-2.10647200308387,57.1445550221426,0,48.9032258064516,12,17.1684210526316,13,11.7333333333333,22.30283,10.77242,6.308893,83.2931475327145,1001.96486322546,179.320023365847,6.36720189955623,43.1599478915892,4.27991353686151,0.22602874,Large Urban Areas,1,3.88984336171717,2.84307171102047,2.46243379393594,train4,test,train7,train10,train1,train2,train2,test,train10,train9
2016-01,2016,1,Aberdeen Wellington Road,Roadside,394410.99,804813.2,-2.09396804748834,57.1341950313274,0,40.5354838709677,1,17.5833333333333,31,,20.35855,10.55765,6.170999,83.5146842957825,1001.96973975587,171.621931167548,6.93014216444625,43.5016614293956,4.32485422068386,0.23063854,Large Urban Areas,1,3.7021777354837,2.86695148368807,,train1,test,train5,train4,test,train6,train5,train1,train9,train2
2016-01,2016,1,Alloa A907,Roadside,288689,693068,-3.79182015659693,56.1173397892599,0,32.9354838709677,0,12.6806451612903,31,,15.5629,10.26566,6.215875,89.0090430643346,1001.97948439616,187.37761621941,4.68404036037877,14.6167973955176,4.25110111564449,0.44572512,Other Urban Areas,1,3.49455061367952,2.54007682794267,,train2,train3,test,train2,test,test,train6,train6,train3,train10
2016-01,2016,1,Angus Forfar Glamis Road,Roadside,345249,750386,-2.89432762476283,56.6420760460412,31,,0,11.1612903225806,31,,7.40728,10.58091,6.037045,88.737347765323,1001.90057156916,259.26356371659,4.68519201970454,26.7021529060102,3.2566633435063,0.3947022,Rural Areas,1,,2.41245157057258,,,,,,,,,,,
2016-01,2016,1,Auchencorth Moss,Rest,322165.87,656128.11,-3.24290002154307,55.7921599947446,31,,5,5.85769230769231,10,2.81904761904762,4.71572,7.887264,4.896663,88.9133971307082,1002.09032301776,184.3722100596,4.9042494232273,25.3140611334557,3.21943894422415,0.50836248,Rural Areas,1,,1.76775572187963,1.03639910416654,train5,train9,train2,train9,test,train1,train2,train9,train5,train3
2016-01,2016,1,Bush Estate,Rest,324629.04,663890.62,-3.2057820654349,55.8622809954292,0,10.6096774193548,31,,31,,8.075246,9.222131,5.575827,88.2271469123067,1002.01788375441,185.210585846351,4.77271247073933,28.932029849744,3.85070727759132,0.5457822,Rural Areas,1,2.36176654870987,,,,,,,,,,,,
